Rank,Player,Years,PTS
1,Wayne Gretzky,1979-99,2857
2,Jaromír Jágr,1990-18,1921
3,Mark Messier,1979-04,1887
4,Gordie Howe,1946-80,1850
5,Ron Francis,1981-04,1798
6,Marcel Dionne,1971-89,1771
7,Steve Yzerman,1983-06,1755
8,Mario Lemieux,1984-06,1723
9,Joe Sakic,1988-09,1641
10,Phil Esposito,1963-81,1590
11,Ray Bourque,1979-01,1579
12,Joe Thornton,1997-22,1539
13,Mark Recchi,1988-11,1533
14,Paul Coffey,1980-01,1531
15,Sidney Crosby,2005-24,1529
16,Alex Ovechkin,2005-24,1500
17,Stan Mikita,1958-80,1467
18,Teemu Selänne,1992-14,1457
19,Bryan Trottier,1975-94,1425
20,Adam Oates,1985-04,1420
21,Doug Gilmour,1983-03,1414
22,Dale Hawerchuk,1981-97,1409
23,Jari Kurri,1980-98,1398
24,Luc Robitaille,1986-06,1394
25,Brett Hull,1986-06,1391
26,Mike Modano,1989-11,1374
27,Johnny Bucyk,1955-78,1369
28,Brendan Shanahan,1987-09,1354
29,Guy Lafleur,1971-91,1353
30,Mats Sundin,1990-09,1349
31,Dave Andreychuk,1982-06,1338
32,Denis Savard,1980-97,1338
33,Mike Gartner,1979-98,1335
34,Pierre Turgeon,1987-07,1327
35,Gilbert Perreault,1970-87,1326
36,Jarome Iginla,1996-17,1300
37,Alex Delvecchio,1950-74,1281
38,Al MacInnis,1981-04,1274
39,Jean Ratelle,1960-81,1267
40,Evgeni Malkin,2006-24,1251
41,Peter Šťastný,1980-95,1239
42,Patrick Kane,2007-24,1238
43,Phil Housley,1982-03,1232
44,Norm Ullman,1955-75,1229
45,Jean Béliveau,1950-71,1219
46,Larry Murphy,1980-01,1217
47,Jeremy Roenick,1988-09,1216
48,Bobby Clarke,1969-84,1210
49,Bernie Nicholls,1981-99,1209
50,Vincent Damphousse,1986-04,1205
51,Dino Ciccarelli,1980-99,1200
52,Patrick Marleau,1997-21,1197
53,Rod Brind'Amour,1989-10,1184
54,Sergei Fedorov,1990-09,1179
55,Bobby Hull,1957-80,1170
56,Anže Kopitar,2006-24,1165
57,Daniel Alfredsson,1995-14,1157
58,Michel Goulet,1979-94,1153
59,Nicklas Lidström,1991-12,1142
60,Marián Hossa,1997-17,1134
61,Bernie Federko,1976-90,1130
62,Mike Bossy,1977-87,1126
63,Joe Nieuwendyk,1986-07,1126
64,Darryl Sittler,1970-85,1121
65,Frank Mahovlich,1956-74,1103
66,Glenn Anderson,1980-96,1099
67,Theo Fleury,1988-03,1088
68,Steven Stamkos,2008-24,1082
69,Henrik Sedin,2000-18,1070
70,Dave Taylor,1977-94,1069
71,Keith Tkachuk,1991-10,1065
72,Ray Whitney,1991-14,1064
73,Joe Mullen,1981-97,1063
74,Eric Staal,2003-23,1063
75,Pat Verbeek,1982-02,1062
76,Denis Potvin,1973-88,1052
77,Henri Richard,1955-75,1046
78,Daniel Sedin,2000-18,1041
79,Patrice Bergeron,2003-23,1040
80,Bobby Smith,1978-93,1036
81,Nicklas Bäckström,2007-24,1033
82,Martin St. Louis,1998-15,1033
83,Doug Weight,1991-11,1033
84,Alexander Mogilny,1989-06,1032
85,Alex Kovalev,1992-13,1029
86,Brian Leetch,1987-06,1028
87,Joe Pavelski,2006-24,1026
88,Patrik Eliáš,1995-16,1025
89,Claude Giroux,2007-24,1024
90,Brian Bellows,1982-99,1022
91,Rod Gilbert,1960-78,1021
92,Dale Hunter,1980-99,1020
93,Ryan Getzlaf,2005-22,1019
94,Pat LaFontaine,1983-98,1013
95,Steve Larmer,1980-95,1012
96,Lanny McDonald,1973-89,1006
97,Brian Propp,1979-94,1004
98,John Tavares,2009-24,998
99,Jason Spezza,2002-22,995
100,Phil Kessel,2006-23,992
101,Paul Kariya,1994-10,989
102,Rick Middleton,1974-88,988
103,Dave Keon,1960-82,986
104,Andy Bathgate,1952-71,973
105,Shane Doan,1995-17,972
106,Maurice Richard,1942-60,966
107,Henrik Zetterberg,2002-18,960
108,Kirk Muller,1984-03,959
109,Larry Robinson,1972-92,958
110,Rick Tocchet,1984-02,952
111,Vincent Lecavalier,1998-16,949
112,Chris Chelios,1983-10,948
113,Jason Arnott,1993-12,938
114,Steve Thomas,1984-04,933
115,Brad Richards,2000-16,932
116,Blake Wheeler,2008-24,928
117,Neal Broten,1980-97,923
118,Pavel Datsyuk,2001-16,918
119,Bobby Orr,1966-79,915
120,Gary Roberts,1986-09,910
121,Scott Stevens,1982-04,908
122,Tony Amonte,1991-07,900
123,Ray Ferraro,1984-02,898
124,Brad Park,1968-85,896
125,Peter Bondra,1990-07,892
126,Corey Perry,2005-24,892
127,Butch Goring,1969-85,888
128,Brad Marchand,2009-24,887
129,Peter Forsberg,1994-11,885
130,Owen Nolan,1990-10,885
131,Connor McDavid,2015-24,884
132,Bill Barber,1972-84,883
133,Jonathan Toews,2007-23,883
134,Zach Parise,2005-23,879
135,Dennis Maruk,1975-89,878
136,Ilya Kovalchuk,2001-20,876
137,Markus Näslund,1993-09,869
138,Cliff Ronning,1986-04,869
139,Trevor Linden,1988-08,867
140,Jamie Benn,2009-24,866
141,Ivan Boldirev,1970-85,866
142,Eric Lindros,1992-07,865
143,Yvan Cournoyer,1963-79,863
144,Alex Tanguay,1999-16,863
145,Dean Prentice,1952-74,860
146,Bill Guerin,1991-10,856
147,Tomas Sandström,1984-99,856
148,Vyacheslav Kozlov,1991-10,853
149,Brent Burns,2003-24,851
150,Ted Lindsay,1944-65,851
151,Gary Suter,1985-02,844
152,Tom Lysiak,1973-86,843
153,John MacLean,1983-02,842
154,Ryan Smyth,1994-14,842
155,Scott Mellanby,1985-07,840
156,Jeff Carter,2005-24,838
157,John Tonelli,1978-92,836
158,Jacques Lemaire,1967-79,835
159,Saku Koivu,1995-14,832
160,Brent Sutter,1980-98,829
161,John Ogrodnick,1979-93,827
162,Doug Wilson,1977-93,827
163,Red Kelly,1947-67,823
164,Bernie Geoffrion,1950-68,822
165,Pierre Larouche,1974-88,822
166,Paul Stastny,2006-23,822
167,John LeClair,1990-07,819
168,Stéphane Richer,1984-02,819
169,Steve Shutt,1972-85,817
170,Thomas Steen,1981-95,817
171,Marián Gáborík,2000-18,815
172,Wilf Paiement,1974-88,814
173,Peter McNab,1973-87,813
174,Sergei Gonchar,1994-15,811
175,Pit Martin,1961-79,809
176,Ken Linseman,1978-92,807
177,Jakub Voráček,2008-23,806
178,Milan Hejduk,1998-13,805
179,Rick Nash,2002-18,805
180,Garry Unger,1967-83,804
181,Ken Hodge,1964-78,800
182,Geoff Courtnall,1983-00,799
183,Justin Williams,2000-20,797
184,Nathan MacKinnon,2013-24,796
185,Eddie Olczyk,1984-00,794
186,Wayne Cashman,1964-83,793
187,Mike Ribeiro,1999-17,793
188,Dany Heatley,2001-15,791
189,Thomas Vanek,2005-19,789
190,Rick Vaive,1979-92,788
191,Börje Salming,1973-90,787
192,David Krejčí,2006-23,786
193,Claude Lemieux,1983-09,786
194,Alexei Yashin,1993-07,781
195,Erik Karlsson,2009-24,780
196,Pavel Bure,1991-03,779
197,Rob Blake,1989-10,777
198,Nikita Kucherov,2013-24,776
199,Leon Draisaitl,2014-24,775
200,Jean Pronovost,1968-82,774
201,Dave Christian,1979-94,773
202,Pete Mahovlich,1965-81,773
203,Sergei Zubov,1992-09,771
204,Todd Bertuzzi,1995-14,770
205,Pavol Demitra,1993-10,768
206,Rick Kehoe,1971-85,767
207,Vinny Prospal,1996-13,765
208,Matt Duchene,2009-24,764
209,Brian Rolston,1994-12,761
210,Kevin Dineen,1984-03,760
211,Murray Craven,1982-00,759
212,Rick MacLeish,1970-84,759
213,Mike Ridley,1985-97,758
214,Scott Young,1987-06,757
215,Scott Gomez,1999-16,756
216,Tyler Seguin,2010-24,754
217,Steve Duchesne,1986-02,752
218,Craig Janney,1987-99,751
219,Olli Jokinen,1997-15,750
220,Bobby Holík,1990-09,747
221,Steve Sullivan,1995-13,747
222,Russ Courtnall,1983-99,744
223,Greg Adams,1984-01,743
224,Mathieu Schneider,1987-10,743
225,Mark Howe,1979-95,742
226,Scott Niedermayer,1991-10,740
227,Miroslav Šatan,1995-10,735
228,David Perron,2007-24,734
229,Andrew Brunette,1995-12,733
230,Andrew Cassels,1989-06,732
231,Matt Cullen,1997-19,731
232,Bobby Carpenter,1981-99,728
233,Murray Oliver,1957-75,728
234,Mike Foligno,1979-94,727
235,Jason Pominville,2003-19,727
236,Cory Stillman,1994-11,727
237,Bob Nevin,1957-76,726
238,Kevin Stevens,1987-02,726
239,Ryan O'Reilly,2009-24,724
240,Dave Babych,1980-99,723
241,Petr Sýkora,1995-12,721
242,Dave Gagner,1984-99,719
243,Alexei Zhamnov,1992-06,719
244,Petr Nedvěd,1990-07,717
245,Martin Straka,1992-08,717
246,George Armstrong,1949-71,713
247,Ziggy Pálffy,1993-06,713
248,Dustin Brown,2003-22,712
249,Vic Hadfield,1961-77,712
250,Mikko Koivu,2005-21,711
251,Charlie Simmer,1974-88,711
